rank,pos,first,last,team,bye
1,(RB1),Le'Veon,Bell,PIT,11
2,(RB2),Adrian,Peterson,MIN,5
3,(RB3),Jamaal,Charles,KC,9
4,(RB4),Eddie,Lacy,GB,7
5,(RB5),Marshawn,Lynch,SEA,9
6,(WR1),Antonio,Brown,PIT,11
7,(WR2),Julio,Jones,ATL,10
8,(WR3),Demaryius,Thomas,DEN,7
9,(WR4),Odell,Beckham Jr.,NYG,11
10,(WR5),Dez,Bryant,DAL,6
11,(WR6),Calvin,Johnson,DET,9
12,(WR7),Randall,Cobb,GB,7
13,(TE1),Rob,Gronkowski,NE,4
14,(WR8),A.J.,Green,CIN,7
15,(RB6),C.J.,Anderson,DEN,7
16,(WR9),Alshon,Jeffery,CHI,7
17,(RB7),Matt,Forte,CHI,7
18,(RB8),LeSean,McCoy,BUF,8
19,(RB9),Jeremy,Hill,CIN,7
20,(WR10),Mike,Evans,TB,6
21,(WR11),Brandin,Cooks,NO,11
22,(WR12),T.Y.,Hilton,IND,10
23,(RB10),Justin,Forsett,BAL,9
24,(RB11),Lamar,Miller,MIA,5
25,(RB12),DeMarco,Murray,PHI,8
26,(WR13),Emmanuel,Sanders,DEN,7
27,(RB13),Frank,Gore,IND,10
28,(RB14),Arian,Foster,HOU,9
29,(WR14),Julian,Edelman,NE,4
30,(WR15),Keenan,Allen,SD,10
31,(RB15),Mark,Ingram,NO,11
32,(WR16),DeAndre,Hopkins,HOU,9
33,(QB1),Andrew,Luck,IND,10
34,(RB16),Andre,Ellington,ARI,9
35,(RB17),Carlos,Hyde,SF,10
36,(WR17),Brandon,Marshall,NYJ,5
37,(RB18),Alfred,Morris,WAS,8
38,(QB2),Aaron,Rodgers,GB,7
39,(RB19),Latavius,Murray,OAK,6
40,(RB20),C.J.,Spiller,NO,11
41,(WR18),Andre,Johnson,IND,10
42,(WR19),Jeremy,Maclin,KC,9
43,(WR20),Jordan,Matthews,PHI,8
44,(RB21),Melvin,Gordon,SD,10
45,(WR21),Jarvis,Landry,MIA,5
46,(WR22),Golden,Tate,DET,9
47,(WR23),Amari,Cooper,OAK,6
48,(WR24),Allen,Robinson,JAC,8
49,(RB22),Ameer,Abdullah,DET,9
50,(RB23),Jonathan,Stewart,CAR,5
51,(RB24),T.J.,Yeldon,JAC,8
52,(TE2),Travis,Kelce,KC,9
53,(TE3),Jimmy,Graham,SEA,9
54,(TE4),Greg,Olsen,CAR,5
55,(WR25),Vincent,Jackson,TB,6
56,(WR26),DeSean,Jackson,WAS,8
57,(WR27),Sammy,Watkins,BUF,8
58,(RB25),Todd,Gurley,STL,6
59,(RB26),Giovani,Bernard,CIN,7
60,(RB27),Isaiah,Crowell,CLE,11
61,(WR28),John,Brown,ARI,9
62,(WR29),Steve,Smith Sr.,BAL,9
63,(QB3),Drew,Brees,NO,11
64,(QB4),Russell,Wilson,SEA,9
65,(TE5),Martellus,Bennett,CHI,7
66,(WR30),Eric,Decker,NYJ,5
67,(QB5),Peyton,Manning,DEN,7
68,(WR31),Larry,Fitzgerald,ARI,9
69,(WR32),Anquan,Boldin,SF,10
70,(WR33),Michael,Floyd,ARI,9
71,(WR34),Marques,Colston,NO,11
72,(WR35),Davante,Adams,GB,7
73,(WR36),Pierre,Garcon,WAS,8
74,(TE6),Jason,Witten,DAL,6
75,(QB6),Tom,Brady,NE,4
76,(QB7),Tony,Romo,DAL,6
77,(RB28),Chris,Ivory,NYJ,5
78,(RB29),LeGarrette,Blount,NE,4
79,(RB30),Danny,Woodhead,SD,10
80,(RB31),Doug,Martin,TB,6
81,(WR37),Kendall,Wright,TEN,4
82,(WR38),Charles,Johnson,MIN,5
83,(WR39),Nelson,Agholor,PHI,8
84,(TE7),Delanie,Walker,TEN,4
85,(QB8),Ben,Roethlisberger,PIT,11
86,(WR40),Torrey,Smith,SF,10
87,(WR41),Devin,Funchess,CAR,5
88,(WR42),Martavis,Bryant,PIT,11
89,(WR43),DeVante,Parker,MIA,5
90,(RB32),Tevin,Coleman,ATL,10
